,City,Country,Temperature,Latitude,Longitude,Wind Speed,Humidity,Cloudiness,Date
0,avarua,CK,80.6,-21.21,-159.78,6.93,83,67,1599869900
1,petropavlovsk-kamchatskiy,RU,55.4,53.05,158.65,4.47,82,20,1599870039
2,sao jose dos pinhais,BR,77.0,-25.53,-49.21,5.82,61,100,1599870040
3,la asuncion,VE,93.2,11.03,-63.86,6.93,52,12,1599870040
4,hobart,AU,53.6,-42.88,147.33,5.82,66,40,1599869951
5,nevyansk,RU,48.56,57.5,60.21,5.23,96,98,1599870041
6,new norfolk,AU,52.0,-42.78,147.06,1.01,61,74,1599870042
7,iqaluit,CA,37.4,63.75,-68.51,8.05,86,90,1599870042
8,hithadhoo,MV,81.93,-0.6,73.08,9.66,75,100,1599870020
9,fortuna,US,66.0,40.6,-124.16,9.17,77,1,1599870043
10,springfield,US,73.99,37.22,-93.3,4.7,83,90,1599869947
11,aklavik,CA,44.6,68.22,-135.01,5.82,81,90,1599870044
12,kaitangata,NZ,55.0,-46.28,169.85,4.0,50,96,1599870044
13,alyangula,AU,80.6,-13.85,136.42,8.05,51,74,1599870044
14,hamilton,US,70.0,39.18,-84.53,8.05,77,90,1599870045
15,fort frances,CA,63.0,48.6,-93.4,4.7,48,1,1599870045
16,guerrero negro,MX,88.61,27.98,-114.06,13.22,25,0,1599870045
17,puri,IN,83.77,19.8,85.85,3.94,79,67,1599870046
18,albany,US,60.01,42.6,-73.97,4.61,72,0,1599869775
19,rikitea,PF,73.8,-23.12,-134.97,11.54,86,63,1599869784
20,longyearbyen,SJ,39.2,78.22,15.64,3.2,86,75,1599869957
21,srednekolymsk,RU,52.83,67.45,153.68,1.77,52,0,1599870049
22,emerald,AU,70.0,-23.53,148.17,16.11,59,90,1599870050
23,cacoal,BR,87.06,-11.44,-61.45,3.58,30,58,1599870050
24,zhucheng,CN,66.63,35.99,119.4,7.78,87,36,1599870051
25,pontianak,ID,75.63,-0.03,109.33,3.13,92,92,1599870051
26,akureyri,IS,44.6,65.68,-18.09,11.41,75,90,1599870052
27,brokopondo,SR,84.47,4.75,-55.17,3.44,60,17,1599870053
28,tasiilaq,GL,33.8,65.61,-37.64,5.82,74,100,1599870054
29,khandagayty,RU,36.52,50.73,92.05,10.51,79,62,1599870054
30,ribeira grande,PT,71.87,38.52,-28.7,6.8,78,10,1599869962
31,san cristobal,VE,86.0,7.77,-72.22,8.05,62,75,1599870054
32,busselton,AU,53.01,-33.65,115.33,3.09,75,20,1599870055
33,kaeo,NZ,56.53,-35.1,173.78,6.49,41,0,1599870055
34,hasaki,JP,77.0,35.73,140.83,10.29,94,75,1599870055
35,sao filipe,CV,82.2,14.9,-24.5,4.92,72,37,1599869989
36,cabo san lucas,MX,86.0,22.89,-109.91,11.41,70,75,1599869981
37,portland,US,66.2,45.52,-122.68,4.7,63,90,1599869693
38,khatanga,RU,48.74,71.97,102.5,7.7,61,94,1599870057
39,maloy,NO,55.4,61.94,5.11,23.04,76,68,1599870057
40,hermanus,ZA,60.01,-34.42,19.23,8.01,89,98,1599870057
41,cape town,ZA,57.0,-33.93,18.42,3.36,93,94,1599869927
42,tiksi,RU,49.57,71.69,128.87,4.74,74,96,1599870058
43,carnarvon,AU,59.0,-24.87,113.63,14.99,67,0,1599870058
44,straumen,NO,54.0,63.87,11.3,17.22,76,100,1599870058
45,constitucion,CL,48.83,-35.33,-72.42,14.43,80,0,1599870059
46,arraial do cabo,BR,72.59,-22.97,-42.03,8.77,86,7,1599869869
47,kapaa,US,87.8,22.08,-159.32,13.87,58,40,1599870059
48,nemuro,JP,59.0,43.32,145.57,5.82,72,75,1599870059
49,ifakara,TZ,72.68,-8.13,36.68,5.66,70,48,1599870059
50,balagansk,RU,44.85,54.01,103.05,7.87,91,100,1599870060
51,colac,AU,51.01,-38.33,143.58,8.01,97,100,1599870060
52,mataura,NZ,54.0,-46.19,168.86,4.0,65,99,1599870060
53,sitio novo do tocantins,BR,81.07,-5.52,-47.46,3.13,53,62,1599870061
54,port macquarie,AU,69.01,-31.43,152.92,1.01,73,89,1599870061
55,riyadh,SA,84.2,24.69,46.72,6.93,17,2,1599870061
56,yellowknife,CA,46.4,62.46,-114.35,11.41,93,90,1599869970
57,beloha,MG,65.17,-25.17,45.05,2.64,94,0,1599870062
58,vaini,TO,75.2,-21.2,-175.2,11.41,78,40,1599870062
59,butaritari,KI,82.33,3.07,172.79,11.45,70,27,1599870063
60,dingle,PH,81.79,11.0,122.67,0.6,79,98,1599870063
61,meulaboh,ID,76.35,4.14,96.13,5.08,84,100,1599870064
62,esperance,AU,50.0,-33.87,121.9,6.93,100,36,1599870064
63,kudahuvadhoo,MV,81.77,2.67,72.89,13.73,79,97,1599870064
64,geraldton,AU,50.0,-28.77,114.6,4.7,87,14,1599870065
65,salinas,US,66.0,36.68,-121.66,10.29,77,1,1599869978
66,chuguyevka,RU,60.48,44.17,133.86,3.36,58,95,1599870067
67,atuona,PF,79.16,-9.8,-139.03,20.47,75,2,1599870068
